loc_rowid,pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_bmasse,pl_bmassj,pl_orbeccen,st_mass,st_logg,sy_dist
19258,Kepler-236 c,Kepler-236,1,2,Transit,2014,23.96812,,,0.0,0.55,4.74,288.763
19268,Kepler-237 b,Kepler-237,1,2,Transit,2014,4.71510365,,,0.0,0.73,4.57,657.822
19279,Kepler-237 c,Kepler-237,1,2,Transit,2014,8.10363271,,,0.0,0.73,4.57,657.822
19289,Kepler-238 b,Kepler-238,1,5,Transit,2014,2.090876,,,,,4.19,1798.75
19300,Kepler-238 c,Kepler-238,1,5,Transit,2014,6.15555756,,,0.0,1.06,4.5,1798.75
19311,Kepler-238 d,Kepler-238,1,5,Transit,2014,13.23333754,,,,1.0,3.96,1798.75
19322,Kepler-238 e,Kepler-238,1,5,Transit,2013,23.65369415,,,0.0,1.08,4.19,1798.75
19333,Kepler-238 f,Kepler-238,1,5,Transit,2013,50.4467417,,,0.0,1.08,4.19,1798.75
19344,Kepler-239 b,Kepler-239,1,2,Transit,2014,11.76305946,,,0.0,0.8,4.61,648.109
19355,Kepler-239 c,Kepler-239,1,2,Transit,2014,56.22809598,,,,0.78,4.49,648.109
19366,Kepler-24 b,Kepler-24,1,4,Transit,2011,8.1453,508.5,1.6,,1.03,4.34,1156.81
19377,Kepler-24 c,Kepler-24,1,4,Transit,2011,12.33343853,,,,1.11,4.41,1156.81
19386,Kepler-24 d,Kepler-24,1,4,Transit,2014,4.24437621,,,,0.98,4.33,1156.81
19396,Kepler-24 e,Kepler-24,1,4,Transit,2014,18.99850923,,,,0.98,4.33,1156.81
19407,Kepler-240 b,Kepler-240,1,2,Transit,2014,4.14451776,,,0.0,0.82,4.59,746.927
19419,Kepler-240 c,Kepler-240,1,2,Transit,2014,7.95355717,,,0.0,0.82,4.59,746.927
19429,Kepler-241 b,Kepler-241,1,2,Transit,2014,12.71810317,,,0.0,0.67,4.59,
19439,Kepler-241 c,Kepler-241,1,2,Transit,2014,36.06586088,,,,,,
19450,Kepler-242 b,Kepler-242,1,2,Transit,2014,8.2039687,,,0.0,0.79,4.5,600.241
19461,Kepler-242 c,Kepler-242,1,2,Transit,2014,14.49643531,,,0.0,0.79,4.5,600.241
19472,Kepler-243 b,Kepler-243,1,2,Transit,2014,5.71543,,,0.0,0.79,4.63,693.86
19483,Kepler-243 c,Kepler-243,1,2,Transit,2014,20.02609195,,,,0.83,4.49,693.86
19494,Kepler-244 b,Kepler-244,1,3,Transit,2014,,,,,,,1036.49
19506,Kepler-244 c,Kepler-244,1,3,Transit,2014,,,,,,,1036.49
19518,Kepler-244 d,Kepler-244,1,3,Transit,2014,,,,,,,1036.49
19529,Kepler-245 b,Kepler-245,1,4,Transit,2014,7.49017898,,,,0.84,4.52,861.527
19541,Kepler-245 c,Kepler-245,1,4,Transit,2014,17.46085263,,,0.0,0.8,4.46,861.527
19552,Kepler-245 d,Kepler-245,1,4,Transit,2014,,,,,,,861.527
19561,Kepler-245 e,Kepler-245,1,4,Transit,2016,3.2198212,,,,0.84,4.52,861.527
19572,Kepler-246 b,Kepler-246,1,2,Transit,2014,4.601836,,,0.0,0.76,4.55,626.078
19583,Kepler-246 c,Kepler-246,1,2,Transit,2014,11.18737033,,,,0.85,4.56,626.078
